DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Šalgovce;Šalgovce;Topo¾èany;956 06;Šalgovce;Šalgovce;406;NI;
Šalgovík;Šalgovík;Prešov;080 01;Prešov 1;Prešov 1;707;PV;
Šalková;Šalková;Banská Bystrica;974 01;Banská Bystrica 1;Banská Bystrica 1;601;BC;
Šalov;Šalov;Levice;935 71;Šalov;Šalov;402;NI;
Šamaja;Šamaja;Èadca;022 01;Èadca 1;Èadca 1;502;ZI;
Šambron;Šambron;Stará ¼ubovòa;065 45;Plavnica;Plavnica;710;PV;
Šamorín;Šamorín;Dunajská Streda;931 01;Šamorín;Šamorín;201;TA;
Šamudovce;Šamudovce;Michalovce;072 01;Pozdišovce;Pozdišovce;807;KI;
Šance;Šance;Nové Mesto n.Váhom;916 42;Moravské Lieskové;Moravské Lieskové;304;TC;
Šandal;Šandal;Stropkov;091 01;Stropkov;Stropkov;711;PV;
Šándorhalma;Šándorhalma;Levice;935 33;Novı Tekov;Novı Tekov;402;NI;
Šankovce;Šankovce;Revúca;982 62;Gemerská Ves;Gemerská Ves;608;BC;
Šapinec;Šapinec;Svidník;090 42;Okruhlé;Okruhlé;712;PV;
Šára;Šára;Luèenec;985 32;Ve¾ká nad Ip¾om;Ve¾ká nad Ip¾om;606;BC;
Šarbov;Šarbov;Svidník;090 05;Krajná Po¾ana;Krajná Po¾ana;712;PV;
Šarišská Poruba;Šarišská Poruba;Prešov;082 12;Kapušany pri Prešove;Kapušany pri Prešove;707;PV;
Šarišská Trstená;Šarišská Trstená;Prešov;082 14;Pušovce;Pušovce;707;PV;
Šarišské Bohdanovce;Šarišské Bohdanovce;Prešov;082 05;Šarišské Bohdanovce;Šarišské Bohdanovce;707;PV;
Šarišské Èierne;Šarišské Èierne;Bardejov;086 37;Šarišské Èierne;Šarišské Èierne;701;PV;
Šarišské Dravce;Šarišské Dravce;Sabinov;082 73;Šarišské Dravce;Šarišské Dravce;708;PV;
Šarišské Jastrabie;Šarišské Jastrabie;Stará ¼ubovòa;065 48;Šarišské Jastrabie;Šarišské Jastrabie;710;PV;
Šarišské Lúky;Šarišské Lúky;Prešov;080 06;Prešov 6;Prešov 6;707;PV;
Šarišské Luianky;Šarišské Luianky;Prešov;082 32;Svinia;Svinia;707;PV;
Šarišské Micha¾any;Šarišské Micha¾any;Sabinov;082 22;Šarišské Micha¾any;Šarišské Micha¾any;708;PV;
Šarišské Sokolovce;Šarišské Sokolovce;Sabinov;082 66;Uzovce;Uzovce;708;PV;
Šarišskı Štiavnik;Šarišskı Štiavnik;Svidník;090 42;Okruhlé;Okruhlé;712;PV;
Šarkan;Šarkan;Nové Zámky;943 42;Gbelce;Gbelce;404;NI;
Šarovce;Šarovce;Levice;935 52;Šarovce;Šarovce;402;NI;
Šašová;Šašová;Bardejov;086 12;Kurima;Kurima;701;PV;
Šášovské Podhradie;Šášovské Podhradie;iar nad Hronom;965 01;iar nad Hronom 1;iar nad Hronom 1;613;BC;
Šaštín;Šaštín;Senica;908 41;Šaštín-Stráe 1;Šaštín-Stráe 1;205;TA;
Šaštín - Stráe;Šaštín - Stráe;Senica;908 41;Šaštín-Stráe 1;Šaštín-Stráe 1;205;TA;
Šávo¾;Šávo¾;Luèenec;985 41;Šávo¾;Šávo¾;606;BC;
Šebešanová;Šebešanová;Povaská Bystrica;017 04;Povaská Bystrica 4;Povaská Bystrica 4;306;TC;
Šelpice;Šelpice;Trnava;919 09;Bohdanovce nad Trnavou;Bohdanovce nad Trn.;207;TA;
Šemetkovce;Šemetkovce;Svidník;090 03;Ladomirová;Ladomirová;712;PV;
Šemša;Šemša;Košice-okolie;044 21;Šemša;Šemša;806;KI;
Šenkvice;Šenkvice;Pezinok;900 81;Šenkvice;Šenkvice;107;BL;
Šiatorská Bukovinka;Šiatorská Bukovinka;Luèenec;985 58;Radzovce;Radzovce;606;BC;
Šiba;Šiba;Bardejov;086 22;K¾ušov;K¾ušov;701;PV;
Šíd;Šíd;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;
Šimonovce;Šimonovce;Rimavská Sobota;980 03;Šimonovce;Šimonovce;609;BC;
Šindliar;Šindliar;Prešov;082 36;Lipovce pri Prešove;Lipovce pri Prešove;707;PV;
Šintava;Šintava;Galanta;925 51;Šintava;Šintava;202;TA;
Šipice;Šipice;Krupina;962 68;Hontianske Tesáre;Hontianske Tesáre;605;BC;
Šípkov;Šípkov;Bánovce nad Bebravou;956 53;Slatina nad Bebravou;Slatina nad Bebravou;301;TC;
Šípkové;Šípkové;Piešany;922 03;Vrbové;Vrbové;204;TA;
Šipošovské Kraèany;Šipošovské Kraèany;Dunajská Streda;930 03;Krá¾ovièove Kraèany;Krá¾ovièove Kraèany;201;TA;
Širákov;Širákov;Ve¾kı Krtíš;991 27;Kamenné Kosihy;Kamenné Kosihy;610;BC;
Širkovce;Širkovce;Rimavská Sobota;980 02;Jesenské;Jesenské;609;BC;
Široká;Široká;Dolnı Kubín;027 41;Oravskı Podzámok;Oravskı Podzámok;503;ZI;
Široké;Široké;Prešov;082 37;Široké;Široké;707;PV;
Šišov;Šišov;Bánovce nad Bebravou;956 38;Šišov;Šišov;301;TC;
Šivetice;Šivetice;Revúca;049 14;Licince;Licince;608;BC;
Škoruby;Škoruby;Bytèa;013 54;Kolárovice;Kolárovice;501;ZI;
Škrabáka;Škrabáka;Èadca;022 04;Èadca 4;Èadca 4;502;ZI;
Škriavnik;Škriavnik;Ve¾kı Krtíš;991 25;Èebovce;Èebovce;610;BC;
Škrípov;Škrípov;Prievidza;972 28;Valaská Belá;Valaská Belá;307;TC;
Šmigovec;Šmigovec;Snina;067 73;Ub¾a;Ub¾a;709;PV;
Šoltıska;Šoltıska;Poltár;985 07;Šoltıska;Šoltıska;607;BC;
Šopora;Šopora;Èadca;022 01;Èadca 1;Èadca 1;502;ZI;
Šoporòa;Šoporòa;Galanta;925 52;Šoporòa;Šoporòa;202;TA;
Špaèince;Špaèince;Trnava;919 51;Špaèince;Špaèince;207;TA;
Špania Dolina;Špania Dolina;Banská Bystrica;974 01;Banská Bystrica 1;Banská Bystrica 1;601;BC;
Španie Pole;Španie Pole;Rimavská Sobota;980 23;Teplı Vrch;Teplı Vrch;609;BC;
Šrobárová;Šrobárová;Komárno;946 32;Marcelová;Marcelová;401;NI;
Štále;Štále;arnovica;968 01;Nová Baòa;Nová Baòa;612;BC;
Štefan;Štefan;Nové Zámky;941 37;Strekov pri Novıch Zámkoch;Strekov pri N.Zámk.;404;NI;
Štefanov;Štefanov;Senica;906 45;Štefanov;Štefanov;205;TA;
Štefanov nad Oravou;Štefanov nad Oravou;Tvrdošín;027 44;Tvrdošín 1;Tvrdošín 1;510;ZI;
Štefanová;Štefanová;Pezinok;900 86;Budmerice;Budmerice;107;BL;
Štefanovce;Štefanovce;Prešov;082 35;Hendrichovce;Hendrichovce;707;PV;
Štefanovce;Štefanovce;Vranov nad Top¾ou;094 01;Tovarné;Tovarné;713;PV;
Štefanovièová;Štefanovièová;Nitra;951 15;Mojmírovce;Mojmírovce;403;NI;
Štefanská Huta;Štefanská Huta;Gelnica;053 51;Kluknava;Kluknava;801;KI;
Štefultov;Štefultov;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;
Štefurov;Štefurov;Svidník;090 42;Okruhlé;Okruhlé;712;PV;
Šterusy;Šterusy;Piešany;922 03;Vrbové;Vrbové;204;TA;
Štiavnické Bane;Štiavnické Bane;Banská Štiavnica;969 81;Štiavnické Bane;Štiavnické Bane;602;BC;
Štiavnièka;Štiavnièka;Banská Bystrica;976 81;Podbrezová;Podbrezová;601;BC;
Štiavnièka;Štiavnièka;Ruomberok;034 01;Ruomberok 1;Ruomberok 1;508;ZI;
Štiavnik;Štiavnik;Bytèa;013 55;Štiavnik;Štiavnik;501;ZI;
Štiefleje;Štiefleje;Prievidza;972 48;Horná Ves;Horná Ves;307;TC;
Štitáre;Štitáre;Nitra;951 01;Nitrianske Hrnèiarovce;Nitrian.Hrnèiarovce;403;NI;
Štítnik;Štítnik;Roòava;049 32;Štítnik;Štítnik;808;KI;
Štoliansko;Štoliansko;Detva;962 05;Hriòová;Hriòová;604;BC;
Štós;Štós;Košice-okolie;044 26;Štós;Štós;806;KI;
Štós - kúpele;Štós - kúpele;Košice-okolie;044 26;Štós;Štós;806;KI;
Štôla;Štôla;Poprad;059 37;Štôla;Štôla;706;PV;
Štrba;Štrba;Poprad;059 38;Štrba;Štrba;706;PV;
Štrbské Pleso;Štrbské Pleso;Poprad;059 85;Štrbské Pleso;Štrbské Pleso;706;PV;
Štrkovec;Štrkovec;Galanta;925 52;Šoporòa;Šoporòa;202;TA;
Štrkovec;Štrkovec;Rimavská Sobota;980 45;Štrkovec;Štrkovec;609;BC;
Štubne;Štubne;Banská Bystrica;976 02;Staré Hory;Staré Hory;601;BC;
Štúrová;Štúrová;Komárno;946 13;Okolièná na Ostrove;Okolièná na Ostrove;401;NI;
Štúrovo;Štúrovo;Nové Zámky;;;Pozri zoz.ulíc s PSÈ;404;NI;
Štvrtok;Štvrtok;Trenèín;913 05;Melèice-Lieskové;Melèice-Lieskové;309;TC;
Štvrtok na Ostrove;Štvrtok na Ostrove;Dunajská Streda;930 40;Štvrtok na Ostrove;Štvrtok na Ostrove;201;TA;
Šuja;Šuja;ilina;015 01;Rajec nad Rajèiankou;Rajec nad Rajèiankou;511;ZI;
Šu¾a;Šu¾a;Ve¾kı Krtíš;991 01;Senné;Senné;610;BC;
Šu¾any;Šu¾any;Dunajská Streda;930 33;Hornı Bar;Hornı Bar;201;TA;
Šulekovo;Šulekovo;Hlohovec;920 03;Hlohovec 3;Hlohovec 3;203;TA;
Šumiac;Šumiac;Brezno;976 71;Šumiac;Šumiac;603;BC;
Šuòava;Šuòava;Poprad;059 39;Šuòava;Šuòava;706;PV;
Šurany;Šurany;Nové Zámky;942 01;Šurany 1;Šurany 1;404;NI;
Šurianky;Šurianky;Nitra;951 26;Šurianky;Šurianky;403;NI;
Šurice;Šurice;Luèenec;980 33;Hajnáèka;Hajnáèka;606;BC;
Šúrovce;Šúrovce;Trnava;919 25;Šúrovce;Šúrovce;207;TA;
Šutovce;Šutovce;Prievidza;972 01;Bojnice;Bojnice;307;TC;
Šútovo;Šútovo;Martin;038 54;Krpe¾any;Krpe¾any;506;ZI;
Švábolka;Švábolka;Brezno;976 69;Pohorelá;Pohorelá;603;BC;
Švábovce;Švábovce;Poprad;;;Pozri zoz.ulíc s PSÈ;706;PV;
Švedlár;Švedlár;Gelnica;053 34;Švedlár;Švedlár;801;KI;
Švošov;Švošov;Ruomberok;034 91;¼ubochòa;¼ubochòa;508;ZI;
Švrèkov Jarok;Švrèkov Jarok;Senica;906 05;Sobotište;Sobotište;205;TA;
ahyòa;ahyòa;Michalovce;072 14;Pavlovce nad Uhom;Pavlovce nad Uhom;807;KI;
Tachty;Tachty;Rimavská Sobota;980 34;Nová Bašta;Nová Bašta;609;BC;
Tajná;Tajná;Nitra;952 01;Vráble;Vráble;403;NI;
Tajov;Tajov;Banská Bystrica;976 34;Tajov;Tajov;601;BC;
Ta¾ka;Ta¾ka;Prešov;082 12;Kapušany pri Prešove;Kapušany pri Prešove;707;PV;
Taneèník;Taneèník;Námestovo;029 57;Oravská Lesná;Oravská Lesná;507;ZI;
apešovo;apešovo;Námestovo;029 51;Lokca;Lokca;507;ZI;
apkové;apkové;Piešany;922 08;Veselé pri Piešanoch;Veselé pri Piešan.;204;TA;
Tarnov;Tarnov;Bardejov;086 01;Rokytov;Rokytov;701;PV;
Tašu¾a;Tašu¾a;Sobrance;072 52;Jenkovce;Jenkovce;809;KI;
Tatranská Javorina;Tatranská Javorina;Poprad;059 56;Javorina;Javorina;706;PV;
Tatranská Kotlina;Tatranská Kotlina;Poprad;059 54;Tatranská Kotlina;Tatranská Kotlina;706;PV;
Tatranská Lesná;Tatranská Lesná;Poprad;059 60;Tatranská Lomnica;Tatranská Lomnica;706;PV;
Tatranská Lomnica;Tatranská Lomnica;Poprad;059 60;Tatranská Lomnica;Tatranská Lomnica;706;PV;
Tatranská Polianka;Tatranská Polianka;Poprad;062 01;Starı Smokovec;Starı Smokovec;706;PV;
Tatranská Štrba;Tatranská Štrba;Poprad;059 41;Tatranská Štrba;Tatranská Štrba;706;PV;
Tatranské Matliare;Tatranské Matliare;Poprad;059 60;Tatranská Lomnica;Tatranská Lomnica;706;PV;
Tatranské Zruby;Tatranské Zruby;Poprad;062 01;Starı Smokovec;Starı Smokovec;706;PV;
Tehla;Tehla;Levice;935 35;Tehla;Tehla;402;NI;
Tekolïany;Tekolïany;Hlohovec;920 62;Horné Otrokovce;Horné Otrokovce;203;TA;
Tekovská Breznica;Tekovská Breznica;arnovica;966 52;Tekovská Breznica;Tekovská Breznica;612;BC;
Tekovská Nová Ves;Tekovská Nová Ves;Levice;935 25;Nová Dedina pri Leviciach;N.Dedina pri Levic.;402;NI;
Tekovské Luany;Tekovské Luany;Levice;935 41;Tekovské Luany;Tekovské Luany;402;NI;
Tekovské Nemce;Tekovské Nemce;Zlaté Moravce;966 54;Tekovské Nemce;Tekovské Nemce;407;NI;
Tekovskı Hrádok;Tekovskı Hrádok;Levice;935 51;Tekovskı Hrádok;Tekovskı Hrádok;402;NI;
Telgárt;Telgárt;Brezno;976 73;Telgárt;Telgárt;603;BC;
Telince;Telince;Nitra;951 61;Èifáre;Èifáre;403;NI;
Temeš;Temeš;Prievidza;972 29;Èavoj;Èavoj;307;TC;
Teplá;Teplá;Banská Štiavnica;969 82;Podhorie;Podhorie;602;BC;
Teplièany;Teplièany;Košice-okolie;044 31;Drustevná pri Hornáde;Drustevná pri Horn.;806;KI;
Teplièka;Teplièka;Spišská Nová Ves;052 01;Spišská Nová Ves 1;Spišská Nová Ves 1;810;KI;
Teplièka nad Váhom;Teplièka nad Váhom;ilina;013 01;Teplièka nad Váhom;Teplièka nad Váhom;511;ZI;
Teplièky;Teplièky;Hlohovec;920 66;Horné Trhovište;Horné Trhovište;203;TA;
Teplı Vrch;Teplı Vrch;Rimavská Sobota;980 23;Teplı Vrch;Teplı Vrch;609;BC;
Terany;Terany;Krupina;962 68;Hontianske Tesáre;Hontianske Tesáre;605;BC;
Terchová;Terchová;ilina;013 06;Terchová;Terchová;511;ZI;
Teriakovce;Teriakovce;Prešov;080 05;Prešov 5;Prešov 5;707;PV;
Teròa;Teròa;Prešov;082 67;Teròa;Teròa;707;PV;
Tesáre;Tesáre;Topo¾èany;956 21;Jacovce;Jacovce;406;NI;
Tesáre nad itavou;Tesáre nad itavou;Zlaté Moravce;951 76;Tesárske Mlyòany;Tesárske Mlyòany;407;NI;
Tesárske Mlyòany;Tesárske Mlyòany;Zlaté Moravce;951 76;Tesárske Mlyòany;Tesárske Mlyòany;407;NI;
Tešedíkovo;Tešedíkovo;Ša¾a;925 82;Tešedíkovo;Tešedíkovo;405;NI;
Tešmák;Tešmák;Levice;936 01;Šahy;Šahy;402;NI;
Tiba;Tiba;Roòava;049 12;Gemerská Hôrka;Gemerská Hôrka;808;KI;
Tibava;Tibava;Sobrance;073 01;Sobrance;Sobrance;809;KI;
Tichá Voda;Tichá Voda;Gelnica;053 33;Nálepkovo;Nálepkovo;801;KI;
Tichı Potok;Tichı Potok;Sabinov;082 74;Brezovica nad Torysou;Brezovica nad Torys.;708;PV;
Timoradza;Timoradza;Bánovce nad Bebravou;956 52;Podluany pri Bánovciach nad Bebravou;Podluany pri Bánov.;301;TC;
Tisinec;Tisinec;Stropkov;091 01;Stropkov;Stropkov;711;PV;
Tisovec;Tisovec;Rimavská Sobota;980 61;Tisovec;Tisovec;609;BC;
Tlmaèe;Tlmaèe;Levice;935 21;Tlmaèe 1;Tlmaèe 1;402;NI;
Tlstá Hora;Tlstá Hora;Ilava;018 54;Slávnica;Slávnica;302;TC;
Töböréte;Töböréte;Dunajská Streda;929 01;Dunajská Streda 1;Dunajská Streda 1;201;TA;
Toènica;Toènica;Luèenec;985 22;Cinobaòa;Cinobaòa;606;BC;
Tokajík;Tokajík;Stropkov;090 34;Tokajík;Tokajík;711;PV;
Tomášikovo;Tomášikovo;Galanta;925 04;Tomašíkovo;Tomašíkovo;202;TA;
Tomášov;Tomášov;Senec;900 44;Tomášov;Tomášov;108;BL;
Tomášovce;Tomášovce;Rimavská Sobota;980 21;Bátka;Bátka;609;BC;
Tomášovce;Tomášovce;Luèenec;985 56;Tomášovce;Tomášovce;606;BC;
Tomèany;Tomèany;Martin;036 01;Martin 1;Martin 1;506;ZI;
Tonkovce;Tonkovce;Dunajská Streda;930 38;Novı ivot;Novı ivot;201;TA;
Topo¾a;Topo¾a;Snina;067 65;Topo¾a;Topo¾a;709;PV;
Topo¾any;Topo¾any;Michalovce;071 01;Michalovce 1;Michalovce 1;807;KI;
Topo¾èany;Topo¾èany;Topo¾èany;;;Pozri zoz.ulíc s PSÈ;406;NI;
Topo¾èianky;Topo¾èianky;Zlaté Moravce;951 93;Topo¾èianky;Topo¾èianky;407;NI;
Topolecká;Topolecká;Nové Mesto n.Váhom;916 01;Stará Turá;Stará Turá;304;TC;
Topo¾nica;Topo¾nica;Galanta;925 92;Kajal;Kajal;202;TA;
Topo¾níky;Topo¾níky;Dunajská Streda;930 11;Topo¾níky;Topo¾níky;201;TA;
Topo¾ovka;Topo¾ovka;Humenné;067 45;Topo¾ovka;Topo¾ovka;702;PV;
Toporec;Toporec;Kemarok;059 95;Toporec;Toporec;703;PV;
Torna¾a;Torna¾a;Revúca;982 01;Torna¾a;Torna¾a;608;BC;
Torysa;Torysa;Sabinov;082 76;Torysa;Torysa;708;PV;
Torysky;Torysky;Levoèa;053 71;Vyšné Repaše;Vyšné Repaše;704;PV;
Tovarné;Tovarné;Vranov nad Top¾ou;094 01;Tovarné;Tovarné;713;PV;
Tovarnianska Polianka;Tovarnian.Polianka;Vranov nad Top¾ou;094 01;Tovarné;Tovarné;713;PV;
Tovarníky;Tovarníky;Topo¾èany;955 01;Topo¾èany 1;Topo¾èany 1;406;NI;
Tôò;Tôò;Komárno;946 15;Tôò;Tôò;401;NI;
Trakovice;Trakovice;Hlohovec;919 33;Trakovice;Trakovice;203;TA;
Trávnica;Trávnica;Nové Zámky;941 46;Trávnica;Trávnica;404;NI;
Trávnik;Trávnik;Komárno;946 19;Èíèov;Èíèov;401;NI;
Trebatice;Trebatice;Piešany;922 10;Trebatice;Trebatice;204;TA;
Trebejov;Trebejov;Košice-okolie;044 81;Kysak;Kysak;806;KI;
Trebe¾ovce;Trebe¾ovce;Luèenec;985 31;Rapovce;Rapovce;606;BC;
Trebichava;Trebichava;Bánovce nad Bebravou;956 53;Slatina nad Bebravou;Slatina nad Bebravou;301;TC;
Trebišov;Trebišov;Trebišov;075 01;Trebišov 1;Trebišov 1;811;KI;
Trebostovo;Trebostovo;Martin;038 41;Košany nad Turcom;Košany nad Turcom;506;ZI;
Trebušovce;Trebušovce;Ve¾kı Krtíš;991 27;Kamenné Kosihy;Kamenné Kosihy;610;BC;
Trenè;Trenè;Luèenec;985 32;Ve¾ká nad Ip¾om;Ve¾ká nad Ip¾om;606;BC;
Trenèianska Teplá;Trenèianska Teplá;Trenèín;914 01;Trenèianska Teplá;Trenèianska Teplá;309;TC;
Trenèianska Turná;Trenèianska Turná;Trenèín;913 21;Trenèianska Turná;Trenèianska Turná;309;TC;
Trenèianska Závada;Trenèianska Závada;Trenèín;914 41;Nemšová;Nemšová;309;TC;
Trenèianske Bohuslavice;Trenè.Bohuslavice;Nové Mesto n.Váhom;913 07;Bošáca;Trenè.Bohuslavice;304;TC;
Trenèianske Jastrabie;Trenè.Jastrabie;Trenèín;913 22;Trenèianske Jastrabie;Trenè.Jastrabie;309;TC;
Trenèianske Mitice;Trenèianske Mitice;Trenèín;913 22;Trenèianske Jastrabie;Trenè.Jastrabie;309;TC;
Trenèianske Stankovce;Trenè.Stankovce;Trenèín;913 11;Trenèianske Stankovce;Trenè.Stankovce;309;TC;
Trenèianske Teplice;Trenèianske Teplice;Trenèín;914 51;Trenèianske Teplice;Trenèianske Teplice;309;TC;
Trenèín;Trenèín;Trenèín;;;Pozri zoz.ulíc s PSÈ;309;TC;
Trhová Hradská;Trhová Hradská;Dunajská Streda;930 13;Trhová Hradská;Trhová Hradská;201;TA;
Trhovište;Trhovište;Michalovce;072 04;Trhovište;Trhovište;807;KI;
Trhyòa;Trhyòa;Levice;937 01;eliezovce;eliezovce;402;NI;
Trnava;Trnava;Trnava;;;Pozri zoz.ulíc s PSÈ;207;TA;
Trnavá Hora;Trnavá Hora;iar nad Hronom;966 11;Trnavá Hora;Trnavá Hora;613;BC;
Trnava pri Laborci;Trnava pri Laborci;Michalovce;072 31;Vinné;Vinné;807;KI;
Trnávka;Trnávka;Dunajská Streda;930 32;Blatná na Ostrove;Blatná na Ostrove;201;TA;
Trnávka;Trnávka;Trenèín;913 33;Horná Súèa;Horná Súèa;309;TC;
Trnávka;Trnávka;Trebišov;078 01;Seèovce;Seèovce;811;KI;
Tànie;Tànie;Zvolen;962 34;Tànie;Tànie;611;BC;
Trnkov;Trnkov;Prešov;082 12;Kapušany pri Prešove;Kapušany pri Prešove;707;PV;
Trnové;Trnové;ilina;010 01;ilina 1;ilina 1;511;ZI;
Trnovec;Trnovec;Skalica;908 51;Holíè 1;Holíè 1;206;TA;
Trnovec nad Váhom;Trnovec nad Váhom;Ša¾a;925 71;Trnovec nad Váhom;Trnovec nad Váhom;405;NI;
Trnovo;Trnovo;Martin;038 41;Košany nad Turcom;Košany nad Turcom;506;ZI;
Troèany;Troèany;Bardejov;086 41;Raslavice;Raslavice;701;PV;
Trojaèka;Trojaèka;Èadca;023 56;Makov na Slovensku;Makov na Slovensku;502;ZI;
Trpín;Trpín;Krupina;962 44;Litava na Slovensku;Litava na Slovensku;605;BC;
Trsany;Trsany;Košice-okolie;044 45;Bidovce;Bidovce;806;KI;
Trsany;Trsany;Spišská Nová Ves;053 63;Spišskı Hrušov;Spišskı Hrušov;810;KI;
Trstená;Trstená;Tvrdošín;028 01;Trstená;Trstená;510;ZI;
Trstená na Ostrove;Trstená na Ostrove;Dunajská Streda;930 04;Baka;Baka;201;TA;
Trstené;Trstené;Liptovskı Mikuláš;032 21;Bobrovec;Bobrovec;505;ZI;
Trstené pri Hornáde;Trstené pri Hornáde;Košice-okolie;044 11;daòa;daòa;806;KI;
Trstice;Trstice;Galanta;925 42;Trstice;Trstice;202;TA;
Tàstie;Tàstie;Povaská Bystrica;018 22;Pruina;Pruina;306;TC;
Trstín;Trstín;Trnava;919 05;Trstín;Trstín;207;TA;
Trubín;Trubín;iar nad Hronom;966 23;Lovèica-Trubín;Lovèica-Trubín;613;BC;
Tuhár;Tuhár;Luèenec;985 12;Tuhár;Tuhár;606;BC;
Tuhrina;Tuhrina;Prešov;082 07;Tuhrina;Tuhrina;707;PV;
Tuchyòa;Tuchyòa;Ilava;018 55;Tuchyòa;Tuchyòa;302;TC;
Tulèík;Tulèík;Prešov;082 13;Tulèík;Tulèík;707;PV;
Tuneice;Tuneice;Ilava;018 63;Ladce;Ladce;302;TC;
Tupá;Tupá;Levice;935 84;Horné Semerovce;Horné Semerovce;402;NI;
Turá;Turá;Levice;935 51;Tekovskı Hrádok;Tekovskı Hrádok;402;NI;
Turá Lúka;Turá Lúka;Myjava;907 03;Myjava 3;Myjava 3;303;TC;
Turany;Turany;Martin;038 53;Turany nad Váhom;Turany nad Váhom;506;ZI;
Turany nad Ondavou;Turany nad Ondavou;Stropkov;090 33;Turany nad Ondavou;Turany nad Ondavou;711;PV;
Turcovce;Turcovce;Humenné;067 23;Baškovce pri Humennom;Baškovce pri Humen.;702;PV;
Turèek;Turèek;Turèianske Teplice;038 48;Turèek;Turèek;509;ZI;
Turèianky;Turèianky;Partizánske;958 44;Klátova Nová Ves;Klátova Nová Ves;305;TC;
Turèianska Štiavnièka;Turè.Štiavnièka;Martin;038 51;Turèianska Štiavnièka;Turèian.Štiavnièka;506;ZI;
Turèianske Jaseno;Turèianske Jaseno;Martin;038 02;Drakovce pri Martine;Drakovce pri Mart.;506;ZI;
Turèianske K¾aèany;Turèianske K¾aèany;Martin;038 61;Vrútky;Vrútky;506;ZI;
Turèianske Teplice;Turèianske Teplice;Turèianske Teplice;039 01;Turèianske Teplice;Turèianske Teplice;509;ZI;
Turèiansky Ïur;Turèiansky Ïur;Martin;038 43;Kláštor pod Znievom;Kláštor pod Znievom;506;ZI;
Turèiansky Michal;Turèiansky Michal;Turèianske Teplice;039 01;Turèianske Teplice;Turèianske Teplice;509;ZI;
Turèiansky Peter;Turèiansky Peter;Martin;038 41;Košany nad Turcom;Košany nad Turcom;506;ZI;
Turèok;Turèok;Revúca;049 18;Lubeník;Lubeník;608;BC;
Turecká;Turecká;Banská Bystrica;976 02;Staré Hory;Staré Hory;601;BC;
Tureò;Tureò;Senec;903 01;Senec;Senec;108;BL;
Turíèky;Turíèky;Poltár;985 22;Cinobaòa;Cinobaòa;607;BC;
Turie;Turie;ilina;013 12;Turie;Turie;511;ZI;
Turík;Turík;Ruomberok;034 83;Liptovská Teplá;Liptovská Teplá;508;ZI;
Turkov;Turkov;Èadca;023 54;Turzovka;Turzovka;502;ZI;
Turòa nad Bodvou;Turòa nad Bodvou;Košice-okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;
Turnianska Nová Ves;Turnianska Nová Ves;Košice-okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;
Turová;Turová;Zvolen;962 34;Tànie;Tànie;611;BC;
Turzovka;Turzovka;Èadca;023 54;Turzovka;Turzovka;502;ZI;
Tušice;Tušice;Michalovce;072 02;Tušická Nová Ves;Tušická Nová Ves;807;KI;
Tušická Nová Ves;Tušická Nová Ves;Michalovce;072 02;Tušická Nová Ves;Tušická Nová Ves;807;KI;
Tuina;Tuina;Prievidza;972 14;Tuina;Tuina;307;TC;
Tvaroná;Tvaroná;Liptovskı Mikuláš;032 23;Liptovská Sielnica;Liptovská Sielnica;505;ZI;
Tvaroná;Tvaroná;Kemarok;059 71;¼ubica;¼ubica;703;PV;
Tvrdomestice;Tvrdomestice;Topo¾èany;956 22;Prašice;Prašice;406;NI;
Tvrdošín;Tvrdošín;Tvrdošín;027 44;Tvrdošín 1;Tvrdošín 1;510;ZI;
Tvrdošovce;Tvrdošovce;Nové Zámky;941 10;Tvrdošovce;Tvrdošovce;404;NI;
U Hluška;U Hluška;Èadca;022 01;Èadca 1;Èadca 1;502;ZI;
U Holıch;U Holıch;Èadca;023 11;Zákopèie;Zákopèie;502;ZI;
U K¾ukov;U K¾ukov;Èadca;023 11;Zákopèie;Zákopèie;502;ZI;
U Kordišov;U Kordišov;Èadca;023 11;Zákopèie;Zákopèie;502;ZI;
U Polievkov;U Polievkov;Èadca;023 11;Zákopèie;Zákopèie;502;ZI;
U Rulcov;U Rulcov;Èadca;023 11;Zákopèie;Zákopèie;502;ZI;
U Sihe¾nika;U Sihe¾nika;Èadca;022 01;Èadca 1;Èadca 1;502;ZI;
Ub¾a;Ub¾a;Snina;067 73;Ub¾a;Ub¾a;709;PV;
Úbre;Úbre;Sobrance;072 42;Úbre;Úbre;809;KI;
Udavské;Udavské;Humenné;067 31;Udavské;Udavské;702;PV;
Uderiná;Uderiná;Luèenec;985 54;Lovinobaòa;Lovinobaòa;606;BC;
Udièa;Udièa;Povaská Bystrica;018 01;Udièa;Udièa;306;TC;
Udièka;Udièka;Povaská Bystrica;018 03;Horná Mariková;Horná Mariková;306;TC;
Údol;Údol;Stará ¼ubovòa;065 45;Plavnica;Plavnica;710;PV;
Uhliská;Uhliská;Levice;935 05;Pukanec;Pukanec;402;NI;
