DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Bartošovce;Bartošovce;Bardejov;086 42;Hertník;Hertník;701;PV;08642
Baška;Baška;Košice-okolie;040 16;Košice 16;Košice 16;806;KI;04016
Baškovce;Baškovce;Humenné;067 23;Baškovce pri Humennom;Baškovce pri Humen.;702;PV;06723
Baškovce;Baškovce;Sobrance;073 01;Sobrance;Sobrance;809;KI;07301
Bašovce;Bašovce;Piešany;922 01;Ostrov pri Piešanoch;Ostrov pri Piešan.;204;TA;92201
Baštín;Baštín;Partizánske;956 18;Bošany;Bošany;305;TC;95618
Batizovce;Batizovce;Poprad;059 35;Batizovce;Batizovce;706;PV;05935
Bátka;Bátka;Rimavská Sobota;980 21;Bátka;Bátka;609;BC;98021
Bátorová;Bátorová;Ve¾kı Krtíš;991 26;Nenince;Nenince;610;BC;99126
Bátorove Kosihy;Bátorove Kosihy;Komárno;946 34;Bátorove Kosihy;Bátorove Kosihy;401;NI;94634
Bátovce;Bátovce;Levice;935 03;Bátovce;Bátovce;402;NI;93503
Beckov;Beckov;Nové Mesto n.Váhom;916 38;Beckov;Beckov;304;TC;91638
Beckovská Vieska;Beckovská Vieska;Nové Mesto n.Váhom;916 31;Koèovce;Koèovce;304;TC;91631
Beèov;Beèov;Banská Bystrica;974 01;Banská Bystrica 1;Banská Bystrica 1;601;BC;97401
Beharovce;Beharovce;Levoèa;053 05;Beharovce;Beharovce;704;PV;05305
Behynce;Behynce;Revúca;982 01;Torna¾a;Torna¾a;608;BC;98201
Behynce;Behynce;Topo¾èany;956 07;Ve¾ké Ripòany;Ve¾ké Ripòany;406;NI;95607
Becherov;Becherov;Bardejov;086 35;Becherov;Becherov;701;PV;08635
Beketfa;Beketfa;Dunajská Streda;930 34;Holice na Ostrove;Holice na Ostrove;201;TA;93034
Belá;Belá;ilina;013 05;Belá pri Varíne;Belá pri Varíne;511;ZI;01305
Belá;Belá;Nové Zámky;943 53;¼ubá;¼ubá;404;NI;94353
Belá - Dulice;Belá - Dulice;Martin;038 11;Belá pri Martine;Belá pri Martine;506;ZI;03811
Belá nad Cirochou;Belá nad Cirochou;Snina;067 81;Belá nad Cirochou;Belá nad Cirochou;709;PV;06781
Beladice;Beladice;Zlaté Moravce;951 75;Beladice;Beladice;407;NI;95175
Belejov;Belejov;Povaská Bystrica;018 03;Horná Mariková;Horná Mariková;306;TC;01803
Belejovce;Belejovce;Svidník;089 01;Svidník;Svidník;712;PV;08901
Belek;Belek;Nové Zámky;941 48;Podhájska;Podhájska;404;NI;94148
Belín;Belín;Rimavská Sobota;980 01;Rimavské Janovce;Rimavské Janovce;609;BC;98001
Belina;Belina;Luèenec;986 01;Fi¾akovo;Fi¾akovo;606;BC;98601
Belince;Belince;Topo¾èany;956 12;Prese¾any;Prese¾any;406;NI;95612
Bellova Ves;Bellova Ves;Dunajská Streda;930 52;Blahová;Blahová;201;TA;93052
Belovea;Belovea;Bardejov;086 14;Halín;Halín;701;PV;08614
Beluj;Beluj;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;96901
Beluša;Beluša;Púchov;018 61;Beluša;Beluša;308;TC;01861
Bela;Bela;Košice-okolie;044 58;Seòa;Seòa;806;KI;04458
Beòadiková;Beòadiková;Liptovskı Mikuláš;032 04;Liptovskı Ondrej;Liptovskı Ondrej;505;ZI;03204
Beòadikovce;Beòadikovce;Svidník;090 42;Okruhlé;Okruhlé;712;PV;09042
Beòadovo;Beòadovo;Námestovo;029 63;Mútne;Mútne;507;ZI;02963
Beòatina;Beòatina;Sobrance;072 64;Podhoroï;Podhoroï;809;KI;07264
Beniakovce;Beniakovce;Košice-okolie;044 42;Rozhanovce;Rozhanovce;806;KI;04442
Benice;Benice;Liptovskı Mikuláš;031 01;Liptovskı Mikuláš 1;Liptovskı Mikuláš 1;505;ZI;03101
Benice;Benice;Martin;038 42;Príbovce;Príbovce;506;ZI;03842
Benkova Potôò;Benkova Potôò;Dunajská Streda;930 36;Horná Potôò;Horná Potôò;201;TA;93036
Benkovce;Benkovce;Vranov nad Top¾ou;094 02;Slovenská Kajòa;Slovenská Kajòa;713;PV;09402
Beòov;Beòov;Bytèa;014 01;Bytèa 1;Bytèa 1;501;ZI;01401
Beòova Lehota;Beòova Lehota;Dolnı Kubín;026 01;Dolnı Kubín 1;Dolnı Kubín 1;503;ZI;02601
Beòuš;Beòuš;Brezno;976 64;Beòuš;Beòuš;603;BC;97664
